,,,,,,,,,,,,,,,,,,,,,
,Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,
171,,,20P31A0237,,,R204105Y,,,CRYPTOGRAPHY & NETWORK SECURITY,,,21,,,ABSENT,,,0,,,
172,,,20P31A0239,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,22,,,F,,,0,,,
173,,,20P31A0240,,,R204102I,,,POWER SYSTEM OPERATION AND CONTROL,,,27,,,D,,,3,,,
174,,,20P31A0246,,,R204102I,,,POWER SYSTEM OPERATION AND CONTROL,,,23,,,ABSENT,,,0,,,
175,,,20P31A0246,,,R204105Y,,,CRYPTOGRAPHY & NETWORK SECURITY,,,23,,,ABSENT,,,0,,,
176,,,20P31A0248,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,15,,,F,,,0,,,
177,,,20P31A0254,,,R204102I,,,POWER SYSTEM OPERATION AND CONTROL,,,21,,,F,,,0,,,
178,,,20P31A0261,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,16,,,F,,,0,,,
179,,,20P31A0263,,,R204102I,,,POWER SYSTEM OPERATION AND CONTROL,,,22,,,F,,,0,,,
180,,,20P31A0263,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,21,,,F,,,0,,,
181,,,20P31A0270,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,21,,,F,,,0,,,
182,,,20P31A0270,,,R204105Y,,,CRYPTOGRAPHY & NETWORK SECURITY,,,17,,,F,,,0,,,
183,,,20P31A0282,,,R204104J,,,BASICS OF SIGNALS AND SYSTEMS,,,20,,,ABSENT,,,0,,,
184,,,20P31A0302,,,R204103H,,,POWER PLANT ENGINEERING,,,14,,,ABSENT,,,0,,,
185,,,20P31A0303,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,28,,,F,,,0,,,
186,,,20P31A0303,,,R204102M,,,FUNDAMENTALS OF ELECTRIC VEHICLES,,,18,,,ABSENT,,,0,,,
187,,,20P31A0303,,,R204103C,,,UNCONVENTIONAL MACHINING PROCESSES,,,17,,,F,,,0,,,
188,,,20P31A0303,,,R204103H,,,POWER PLANT ENGINEERING,,,16,,,ABSENT,,,0,,,
189,,,20P31A0303,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,17,,,ABSENT,,,0,,,
190,,,20P31A0304,,,R204103C,,,UNCONVENTIONAL MACHINING PROCESSES,,,16,,,F,,,0,,,
191,,,20P31A0304,,,R204103H,,,POWER PLANT ENGINEERING,,,17,,,F,,,0,,,
192,,,20P31A0304,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,18,,,F,,,0,,,
193,,,20P31A0307,,,R204102M,,,FUNDAMENTALS OF ELECTRIC VEHICLES,,,18,,,ABSENT,,,0,,,
194,,,20P31A0307,,,R204103H,,,POWER PLANT ENGINEERING,,,13,,,ABSENT,,,0,,,
195,,,20P31A0309,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,17,,,F,,,0,,,
196,,,20P31A0310,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,17,,,F,,,0,,,
197,,,20P31A0312,,,R204103H,,,POWER PLANT ENGINEERING,,,16,,,E,,,3,,,
198,,,20P31A0312,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,13,,,E,,,3,,,
Sno,,,Htno,,,Subcode,,,Subname,,,Internals,,,Grade,,,Cr,,,
199,,,20P31A0315,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,15,,,F,,,0,,,
200,,,20P31A0316,,,R204103H,,,POWER PLANT ENGINEERING,,,17,,,F,,,0,,,
201,,,20P31A0316,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,16,,,F,,,0,,,
202,,,20P31A0318,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,19,,,E,,,3,,,
203,,,20P31A0320,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,13,,,E,,,3,,,
204,,,20P31A0324,,,R204103H,,,POWER PLANT ENGINEERING,,,17,,,E,,,3,,,
205,,,20P31A0325,,,R204103H,,,POWER PLANT ENGINEERING,,,18,,,F,,,0,,,
206,,,20P31A0325,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,16,,,F,,,0,,,
207,,,20P31A0329,,,R204103H,,,POWER PLANT ENGINEERING,,,17,,,F,,,0,,,
208,,,20P31A0329,,,R204103O,,,REFRIGERATION & AIR-CONDITIONING,,,16,,,E,,,3,,,
209,,,20P31A0330,,,R2041011,,,UNIVERSAL HUMAN VALUES 2: UNDERSTANDING,,,26,,,D,,,3,,,
